Time , Junction , Duration , Queue 1 , Queue 2 , Queue 3 
0,2,200,7,6,6
200,3,200,15,8,12
400,1,300,31,21,8
700,2,300,16,44,30
1000,3,300,38,16,49
1300,1,400,59,38,15
1700,2,400,19,68,44
2100,3,400,43,21,69
2500,1,400,69,50,21
2900,2,400,23,79,47
3300,3,400,49,22,73
3700,1,400,77,51,20
4100,2,400,20,77,48
4500,3,400,49,19,77
4900,1,400,75,47,21
5300,2,400,21,74,52
5700,3,400,51,20,84
6100,1,400,78,45,20
6500,2,400,23,71,48
6900,3,400,52,21,74
7300,1,400,79,49,22
7700,2,400,23,79,51
8100,3,400,49,21,80
8500,1,400,75,48,20
8900,2,400,18,77,48
9300,3,400,47,22,73
9700,1,400,74,51,21
10100,2,400,22,79,47
10500,3,400,48,19,75
10900,1,400,77,44,22
11300,2,400,21,72,49
11700,3,400,50,21,79
12100,1,400,79,46,22
12500,2,400,24,76,50
12900,3,400,53,19,80
13300,1,400,82,46,19
13700,2,400,23,74,49
14100,3,400,51,21,78
14500,1,400,80,51,18
14900,2,400,20,79,47
15300,3,400,48,21,74
