No , Total Signals, Total Departures , Total Waiting Time , Total Service Time , Avg Departures , Avg Waiting Time , Avg Service Time ,  Avg Queue Length ,,,,,,
1,42,3173,1698400,154450,75.5476,535.266,48.6763,37.3333,,,,,,
2,41,3090,1652800,146771,75.3659,534.887,47.4987,37.7073,,,,,,
3,41,3078,1663200,141681,75.0732,540.351,46.0302,37.4878,,,,,,
4,42,3129,1648900,150792,74.5,526.973,48.1918,36.7381,,,,,,
5,42,3125,1675500,151110,74.4048,536.16,48.3552,36.619,,,,,,
6,42,3156,1684800,160819,75.1429,533.84,50.9566,36.9286,,,,,,
7,42,3134,1642400,147624,74.619,524.059,47.104,36.5714,,,,,,
8,42,3117,1626100,148157,74.2143,521.688,47.5319,36.4048,,,,,,
9,42,3111,1634000,140610,74.0714,525.233,45.1977,36.5952,,,,,,
10,42,3186,1697600,153115,75.8571,532.831,48.0587,37.4048,,,,,,
11,42,3101,1631800,148731,73.8333,526.217,47.9623,36.5,,,,,,
12,42,3154,1687100,152632,75.0952,534.908,48.3932,36.8095,,,,,,
13,42,3128,1640900,148316,74.4762,524.584,47.4156,36.619,,,,,, 
14,42,3149,1665200,154089,74.9762,528.803,48.9327,36.8333,,,,,,
15,42,3159,1665500,158300,75.2143,527.224,50.1108,36.6667,,,,,,
16,42,3135,1685800,145279,74.6429,537.735,46.341,36.9048,,,,,,
17,42,3140,1680800,150288,74.7619,535.287,47.8624,36.9048,,, ,,,
18,42,3096,1625300,149149,73.7143,524.968,48.1747,36.5476,,,,,,
19,42,3108,1630000,149160,74,524.453,47.9923,36.2857,,,,,,
20,42,3157,1661500,142956,75.1667,526.291,45.2822,36.8571,,,,,,
Average,41.95,3130.15,1652660,147733,74.6176,39397.17,3521.8215,36.705975,,,,,,
